,Time,User,Tweet
0,2022-05-09 02:54:45+00:00,MuraGesuino,"RT @beppesevergnini: Se “free speech” però vuol dire libertà di insultare, diffamare, minacciare e mentire (in forma anonima, of course), o…"
1,2022-05-09 02:36:38+00:00,CarbsandDrama,Hope @elonmusk changes media &amp; PR firms ability to buy @Twitter trends ... I'm eager &amp; interested to know what is T… https://t.co/Mnu5ggy36o
2,2022-05-09 02:31:40+00:00,TruthSeekerRTIN,"RT @AyyAyy0: Elon Musk after buying #Twitter for💲44 billion
Hoping to see some progressive changes in the coming days
CEO of Twitter - @elo…"
3,2022-05-09 02:29:29+00:00,AyyAyy0,"Thanks Rose 😅 !

@elonmusk #ElonMuskTwitter #ElonMuskBuysTwitter #Elon #ElonMuskBuyTwitter #TwitterSold… https://t.co/UYcj9IOnf7"
4,2022-05-09 02:22:43+00:00,Ruby51034786,"A way to RT &amp; LIKE &amp; TAG Friends
To win the NFTs Giveaway contest.
Video : https://t.co/85lY5rojoE

#NFTs… https://t.co/pVDki7uRrr"
5,2022-05-09 02:13:50+00:00,AndNoc_,"This is how @elonmusk bought twitter.

#Trending #twittersold #ElonMuskBuyTwitter https://t.co/IYDRYvkGpq"
6,2022-05-09 02:12:12+00:00,JScottXperience,Funny Meme Reactions #twittersold #TwitterCEO #follobackforfolloback #YouTube #Facebook #instagram https://t.co/ajwwpu2Jmu
7,2022-05-09 01:31:05+00:00,isaiahonoja72,@elonmusk @elonmusk we are not ready to cry now please. You still have a lot of good to offer to our world. Humanit… https://t.co/uO6RIsJUwK
8,2022-05-08 23:47:45+00:00,doinstuff_WDino,"@joerogan set to become new #CEO of @Twitter sources close to @elonmusk report.

#twittersold 
#TwitterTakeover 
#Twitter
#Viral
🤭"
9,2022-05-08 23:41:21+00:00,Cosmicstrenght3,#twittersold 🌈💆‍♀️ https://t.co/aQQQh7JDLz
10,2022-05-08 23:40:40+00:00,cerimisu,"RT @micortazonzz1: @Justin needs a #friend #family #LOVE  please #RETWEEET or consider #Justin. Read below 💔.
#music to Justin is being wan…"
11,2022-05-08 23:25:14+00:00,gramma_smith,RT @BradFish71: #ChampionsLeague #LiberalHypocrisy #Pessi #JusticeForJohnnyDepp #ThisIsUsFinalChapter #UCL #Acharya #Bitcoin #Chernobyl #cr…
12,2022-05-08 22:26:30+00:00,tk__2022,I sent this to twitter hacks after they had choked my EXPRESSION. Let the snowflakes filter themselves from 'hurtfu… https://t.co/EcXFIbHZij
13,2022-05-08 22:16:59+00:00,SandyRaman4,"RT @pcpjewellers: #ElonMusk #ElonMuskBuyTwitter 

#ElonMuskTwitter 

#dogecoin 

#แตงโมต้องได้รับความยุติธรรม 

#twittersold 

#yuvarajkuma…"
14,2022-05-08 19:23:32+00:00,Rahulpa61657515,"RT @whokumargaurav: Twitter  को falcon -9  में  बैठा कर अंतरिक्ष की ओर रवाना किया 🤣🤣
#ElonMusk 
#twittersold"
15,2022-05-08 19:04:28+00:00,pitamasima,RT @JackieMeek6: Free speech 🎤😂😂😂😂😂😂😂😂#Freedom #ElonMusk is your saviour 🐏🐏🐑🐑🐏🐑🐑🐑😂😂😂😂😂🐑🐑🐑🐑🐑😂😂😂#twittersold
16,2022-05-08 18:58:15+00:00,Fedeliana001,"RT @peta: Based on @ElonMusk’s claims about #FreeSpeech, we’re looking forward to no longer being censored with graphic warnings for exposi…"
17,2022-05-08 18:51:18+00:00,ferlenlavcam,I’ve read in one article that #Qatar contributed more than $300m to Elon Musk’s acquistion of #Twitter 🤔 Is that tr… https://t.co/H9hRiuGvxO
18,2022-05-08 18:32:08+00:00,noorimage24,Happy Mothers Day 2022 #motherlove #mothersday #mothersday2022 #travelphotography #noorimage2022 #twittersold https://t.co/mBXZWnRtW6
19,2022-05-08 18:24:27+00:00,satanicsatin,Lmao farming turned into utter boss destruction with the homie come watch this 2 man army shenanigans… https://t.co/7tEgtzyIs5
20,2022-05-08 18:24:08+00:00,COUNTRY_YOO,RT @yvgeneral: Incoming banger 💣…#fast&amp;furious #twittersold #ElonMusk #peru #fireboy  @DONJAZZY @WizkidSource @davido @wizkidayo @Olamide h…
21,2022-05-08 18:15:07+00:00,CalFactCheck,RT @bestjoekim: Fact check.  @elonmusk paid $11 billion taxes on options exercised and shares sold in 2021.  How easy to leave out that TIN…
22,2022-05-08 17:56:53+00:00,T_W_T_V,What changes can we expect with Elon Musk being the new owner of Twitter? #news #twittersold
23,2022-05-08 17:39:10+00:00,HangingDead_com,"RT @HangingDead_com: Elon Musk was NEVER going to finish the CYBERTRUCK . 

It was probably a HOAX to take everyone’s deposit $$$ and inves…"
24,2022-05-08 17:39:01+00:00,tobstario,@elonmusk Integrate premium accounts in #Twitter in a way that news sites can use Twitter for their paywall.… https://t.co/2VWcWIZTg3
25,2022-05-08 17:36:46+00:00,Eng2_marketing,"The world 🌎 is like high school, and twitter is where all the cool kids hang out. 

#twittersold #ELON #mindsetmatters"
26,2022-05-08 17:32:13+00:00,bestjoekim,Fact check.  @elonmusk paid $11 billion taxes on options exercised and shares sold in 2021.  How easy to leave out… https://t.co/2AOOLMLQKh
27,2022-05-08 16:36:37+00:00,mrpratik0800,"दुनिया से हमेशा आगे चलो, क्यूंकि
पीछे तो दुश्मन भी पड़े हैं 🤴🏻
.
.
.
.
.
.
#TwitterCEO #twittersold #Shivsena… https://t.co/UO7eMQtDMt"
28,2022-05-08 16:36:00+00:00,filafresh,I Guess we Bringing Back R. Kelly When Donald Trump Returns... yalll LIKE DEAD HORSES!!! #twittersold
29,2022-05-08 16:30:14+00:00,DodkeAnirudh,#twittersold #public #viraltwitter #anirudhadodke https://t.co/TOOmNe9jdS
30,2022-05-08 16:23:25+00:00,AffanHamdani2,#twittersold #امپورٹڈ_گورنمنٹ_نامنظور #امپورٹڈ_حلومت_نامنظور https://t.co/vEtyU7h27d
31,2022-05-08 16:22:31+00:00,Browns_Riversid,"Bored part3 lolol
#nfts #nft #nftart #nftcommunity #nftcollector #nftartist #cryptoart #digitalart #art #crypto… https://t.co/eQ8AagnHBQ"
32,2022-05-08 16:19:05+00:00,ihb_zeynepazra,RT @sampathmancha04: Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
33,2022-05-08 16:19:04+00:00,vPrbeerowski,RT @sampathmancha04: Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
34,2022-05-08 16:19:04+00:00,SsRgizemkilic55,RT @sampathmancha04: Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
35,2022-05-08 16:19:04+00:00,7wrtCbgjcJQ7qRf,RT @sampathmancha04: Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
36,2022-05-08 16:19:04+00:00,KmAaliilterr,RT @sampathmancha04: Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
37,2022-05-08 16:19:03+00:00,y98berfinsmsek,RT @sampathmancha04: Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
38,2022-05-08 16:19:03+00:00,5zyhttpEmir,RT @sampathmancha04: Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
39,2022-05-08 16:19:03+00:00,162Berkayonaall,RT @sampathmancha04: Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
40,2022-05-08 16:18:06+00:00,Drksun,@elonmusk They are saying you should have spent the #twittersold money on homelessness but https://t.co/PM50D1Mt64… https://t.co/v70AiWRQRo
41,2022-05-08 16:04:10+00:00,PRAVEEN86047535,"RT @whokumargaurav: Twitter  को falcon -9  में  बैठा कर अंतरिक्ष की ओर रवाना किया 🤣🤣
#ElonMusk 
#twittersold"
42,2022-05-08 16:02:47+00:00,Chhaganbhai67,"RT @Nirajan18363616: #twittersold
Saturday and Sunday
#TwitterTakeover 
The ultimate truth is attained only after reading Gyan Ganga Book!!…"
43,2022-05-08 16:00:52+00:00,ShaheenH03,"RT @CNNnews18: #TwitterSold | Why are people afraid of #ElonMusk taking over Twitter?

Senior Fellow, IPCS, Abhijit Iyer Mitra (@Iyervval)…"
44,2022-05-08 15:35:07+00:00,Itschuza,"RT @Jamshaid_jayB: Lo Ji Uraw Lo Humra MazAk😑
#JamshaidjayB #lufc #twittersold https://t.co/YLdADjJbd6"
45,2022-05-08 15:20:16+00:00,singer_alisha_0,"𝐁𝐡𝐚𝐠𝐰𝐚𝐧 𝐡𝐚𝐢 𝐤𝐚𝐡𝐚 𝐫𝐞 𝐭𝐮 USE HEADPHONES 🎧 FOR BETTER'EXPERIENCE THANK YOU 😊🤙❤️🎵

#reelsinstagram 
#Facebook… https://t.co/JTz37QuqTK"
46,2022-05-08 15:17:14+00:00,COSMICKINNG_TTV,Wow @Twitter @elonmusk I just got one of my accounts permanently suspended for no reason. They didn’t even say what… https://t.co/i7LordvGoU
47,2022-05-08 15:15:49+00:00,Jamshaid_jayB,"Lo Ji Uraw Lo Humra MazAk😑
#JamshaidjayB #lufc #twittersold https://t.co/YLdADjJbd6"
48,2022-05-08 15:12:26+00:00,SSVerma22439706,@lifeisgucci5 #twittersold @verified @TwitterIndia @Twitter Ban this account of Werleman spreading Hatred with Fals… https://t.co/JeDoPsI7Y2
49,2022-05-08 15:03:27+00:00,HangingDead_com,"RT @HangingDead_com: Millionaires Billionaires 
All of a sudden everyone that made money 💴 💰 💵 💰 with crypto currency wants to buy everythi…"
50,2022-05-08 14:47:12+00:00,rositaakb,"If you can not understand my words, look into my eyes!

.
.
 
#drawing #portraitpainting #portrait #illustration… https://t.co/XDJpIUKEDF"
51,2022-05-08 14:07:17+00:00,Pavan_expo2020,I just need take out 10mins of my busy life than edit &amp; erase all B in the figures . Than i am richest of all of th… https://t.co/AHsI5EsDnt
52,2022-05-08 13:33:11+00:00,Harshal_129,"RT @ShivamShalesha: What Next😮‍💨🥴
@elonmusk
.
.
.
. 
#Tesla #twittersold #ElonMuskTwitter #CocaCola https://t.co/QJbtb2XSRx"
53,2022-05-08 13:10:00+00:00,OrestasKaminsk1,"#twittersold #ideas #idea #sell 
Hello twitter, I have and business idea but I can't do it becose my finances dont… https://t.co/buQm43NJmA"
54,2022-05-08 12:57:27+00:00,PediaSilly,@elonmusk has announced he is buying the Admiral Makarov. Elon has taken quite a liking for things that are sunk li… https://t.co/EfVFviAU6o
55,2022-05-08 12:37:23+00:00,MouseClayT,RT @CyanNova2: #twittersold Costs Musk $44 billion to feed his God complex. https://t.co/nt2MKzBzYA
56,2022-05-08 12:31:51+00:00,EkueHammed,😢END TIME😢(Man F**king Chicken) @davido @wizkidayo @burnaboy @2niteFlavour @BrymOlawale @Olamide #MothersDay… https://t.co/FxrsWuZaOm
57,2022-05-08 12:23:13+00:00,real9Esmell,"On se connaît , on se follow pas.

#Kylliantyga
#twittersold"
58,2022-05-08 12:21:18+00:00,davidc666666,"RT @epakamoo: @DemihumanNft 的赫斯提雅騎士團城邦
在上星期六的下午
舉辦了一場瘋狂的運動會
經過給力夥伴們的推廣
報名人數來到 6x 人 🤣
感謝 #Demily 們的付出與參與
也感謝難得的好天氣

有趣 🏄
#再搞一場大的？
#NFTs #ETH…"
59,2022-05-08 12:20:41+00:00,PhilipGunter11,"RT @TheAltcoinMan: With #ElonMusk buying #Twitter, $DOGE has already gone up 20%. And I predict the following #altcoins to follow till they…"
60,2022-05-08 12:13:59+00:00,enterx_enterx,"@elonmusk @SpaceX #TwitterTakeover #twittersold 

Hey I need to launch some crew-less heavy weight into space... ha… https://t.co/TN2o9KN78c"
61,2022-05-08 12:07:09+00:00,ValeDaRiz,@TwBeautiful Perché la Cremonese che gli ha fatto? #twittersold
62,2022-05-08 12:00:04+00:00,PureSocialNet,"RT @Crowdscore101: Hey @elonmusk - what would you say about new tech to counter disinformation online, a scoring system run by the people.…"
63,2022-05-08 11:59:52+00:00,puresocialtv,"RT @Crowdscore101: Hey @elonmusk - what would you say about new tech to counter disinformation online, a scoring system run by the people.…"
64,2022-05-08 11:59:14+00:00,Crowdscore101,"Hey @elonmusk - what would you say about new tech to counter disinformation online, a scoring system run by the peo… https://t.co/baqhEZGVeu"
65,2022-05-08 11:40:58+00:00,SmartyTech1,RT @CatherineAdenle: Job interest in Twitter skyrocketed more than 250% since Elon Musk moved to take over. But current employees are nervo…
66,2022-05-08 10:55:33+00:00,cryptopunk_io,@LVNFTs  @nftcollection80  @cryptocrayzzz  #twittersold #APECOIN https://t.co/ssikR1KpeH
67,2022-05-08 10:48:33+00:00,YvesTennyson,RT @metascroller: #GameFi #Game #gamedev #SpiderMan #Avatar2 #dogecoin #ElonMusk #twittersold #digitalasset #Metaverse #Crypto #nftart #NFT…
68,2022-05-08 10:20:00+00:00,SadiaSuha,"#Investment 
#DigitalMarketing 
#businessproposalEp12 
#twittersold 
#PositiveVibes 
#sundayvibes https://t.co/bjlG06gG7I"
69,2022-05-08 10:19:35+00:00,Crying_justice,"RT @SadiaSuha: #MothersDay 
#graphicdesign 
#logo 
#twittersold 
#MotivationalQuotes 
#sundayvibes https://t.co/ikBN3H7z31"
70,2022-05-08 10:14:19+00:00,nneerajdj,"RT @SadiaSuha: #MothersDay 
#graphicdesign 
#logo 
#twittersold 
#MotivationalQuotes 
#sundayvibes https://t.co/ikBN3H7z31"
71,2022-05-08 10:13:34+00:00,sistateacher,"RT @SadiaSuha: #MothersDay 
#graphicdesign 
#logo 
#twittersold 
#MotivationalQuotes 
#sundayvibes https://t.co/ikBN3H7z31"
72,2022-05-08 10:10:46+00:00,MayaraamPal1,"RT @Nirajan18363616: Saturday and Sunday
#TwitterTakeover 
#twittersold 
#Twitter 
The complete spiritual knowledge is only known through t…"
73,2022-05-08 10:09:56+00:00,SadiaSuha,"#MothersDay 
#graphicdesign 
#logo 
#twittersold 
#MotivationalQuotes 
#sundayvibes https://t.co/ikBN3H7z31"
74,2022-05-08 10:08:43+00:00,SadiaSuha,"#risk 
#Investment 
#businessproposalEp12 
#Bitcoin 
#twittersold 
#sundayvibes https://t.co/qWnzs5Y14P"
75,2022-05-08 09:51:03+00:00,oluwase28682488,Ball point pen on cardboard #twittersold #TwitterCEO https://t.co/wRJkTbefPc
76,2022-05-08 09:28:40+00:00,Varsha71944687,"RT @whokumargaurav: Twitter  को falcon -9  में  बैठा कर अंतरिक्ष की ओर रवाना किया 🤣🤣
#ElonMusk 
#twittersold"
77,2022-05-08 09:21:24+00:00,AAnByT7wLmthe9d,"RT @xixi_657: 無論今天發生多麼糟糕的事，都不應感到悲傷。一輩子不長，請原諒所有的人和事
#台灣 
#Taipei 
#台北美食
#TwitterTakeover 
#TWICEDisband 
#twittersold 
#TwentyFiveTwentyOne…"
78,2022-05-08 09:19:48+00:00,nottoosaltyyy,"mantalksabouttwitterfreedom... uum hmm..
Hey @elonmusk can u increase the goddamn character limit on a tweet!. I wo… https://t.co/3eXEp1Jnlp"
79,2022-05-08 08:42:41+00:00,Chhaganbhai67,"RT @Nirajan18363616: Saturday and Sunday
#TwitterTakeover 
#twittersold 
#Twitter 
The complete spiritual knowledge is only known through t…"
