,User,Tweet,class
0,ClareHouse15,#bbtvi #leavingtwitter #elonmusk #twittersold #bhoolbhulaiyaa2 #halamadrid #cryptocurrency #dogecoin nefes alması iç…,NEUTRAL
1,JamesLk1,is this one of the benefits of #globalwarming that #republicans talked about? #climate #climatecrisis #environment…  ,NEUTRAL
2,xray_sc,"        #tweets #freedom #malone #twittersold 
why prof. malone account is not reabilited",NEUTRAL
3,Alien_Ape_NFT, i like to congratulate   with your purchase of   a legendary move to defend the platform on freedom of speec…,POSITIVE
4,Victori42468601,   follows #dhoni style to advise #riyanparag after the win against #rcb to make him calm due to clash with #harsh…,POSITIVE
5,Symban3, the meltdown of the woke liberals continues! msnbc host worries that an   owned #twitter could ban a party’s candida…,NEUTRAL
6,Kuldeep44411005,"shadbase hand drawn girl elements 👇👇
 
#twitter有料化 #mvเจ้าอารมณ์ #gulfxmai #shapeoflove…  ",NEUTRAL
7,Lisa_LS07," ᵇᵉ ᵖᵃᵗⁱᵉⁿᵗ ʷⁱᵗʰ ʸᵒᵘʳ
  ˡⁱᶠᵉ ᵃⁿᵈ ʸᵒᵘʳ ᵖᵃᵗʰ.
 
ʸᵒᵘ ᵈᵒⁿ’ᵗ ⁿᵉᵉᵈ ᵗᵒ ᶜᵒᵐᵖᵃʳᵉ
   ᵃⁿʸᵒⁿᵉ’ˢ ᵖᵒˢⁱᵗⁱᵒⁿ
        ᵗᵒ ʸᵒᵘʳˢ.
  
 ᶠˡᵒʷᵉʳˢ…",NEUTRAL
8,Erenimo04148183," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
9,GEROJORGE6," ᵇᵉ ᵖᵃᵗⁱᵉⁿᵗ ʷⁱᵗʰ ʸᵒᵘʳ
  ˡⁱᶠᵉ ᵃⁿᵈ ʸᵒᵘʳ ᵖᵃᵗʰ.
 
ʸᵒᵘ ᵈᵒⁿ’ᵗ ⁿᵉᵉᵈ ᵗᵒ ᶜᵒᵐᵖᵃʳᵉ
   ᵃⁿʸᵒⁿᵉ’ˢ ᵖᵒˢⁱᵗⁱᵒⁿ
        ᵗᵒ ʸᵒᵘʳˢ.
  
 ᶠˡᵒʷᵉʳˢ…",NEUTRAL
10,miss_shah__, #twittersold  ,NEUTRAL
11,137degree," ☀️🐦☀️🌈☀️
my  handmade painting. 
august, 50x60, oil on canvas,  2019
 
(price with shipping)
#twitter…",NEUTRAL
12,NataIvaArt,"☀️🐦☀️🌈☀️
my  handmade painting. 
august, 50x60, oil on canvas,  2019
 
(price with shipping)…  ",NEUTRAL
13,IrmaNew79964156," grandpa's stash nft
live
 
###############################
#nbaplayoffs #game5 #lovernft #nftlover #tr…",POSITIVE
14,Sony23122," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
15,husainyusufov,"🎬💪
#husainyusufov 
#нюдсочетверг 
#twittersold 
#kinnporschetheseriese #filmphotography 
#film  ",NEUTRAL
16,mkt4id,"with someone as reasonable as you in charge, censorship is a force that can be used for good - free speech haters,…  ",POSITIVE
17,Lanre2050,"to learn digital skills is so significant that you can be self employed. do you intend learn affiliate marketing, i…  ",POSITIVE
18,PetyYdas," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
19,KellySidney6," #dogecoin is the only coin here ahhahaa, congratulations   #twittersold",NEUTRAL
20,keerthu_mahesh,"its official!!! now lets see some real drama in twitter. thank you
  though you had some personal motive be…  ",POSITIVE
21,Allen_905," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
22,1Minanse," i want to bey titter ?🐓
what is the preyce     #twittersold #twitter #twitterhub #dogecoin #nfts #nft",NEUTRAL
23,1Minanse,"i want to bey titter ?🐓
what is the preyce     #twittersold #twitter #twitterhub #dogecoin #nfts #nft",NEUTRAL
24,notEveretMcGill," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
25,AsianetNewsTM,elon musk: எலோன் மஸ்க் மீது பாய்ந்தது வழக்கு: கடுப்பான ட்விட்டர் முதலீட்டாளர்கள் : காரணம் என்ன?…  ,NEUTRAL
26,MikeRamos81," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
27,scryptoking," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
28,BirbPack," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
29,GaskonerGask," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
30,ossyandy," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
31,GemFinderKing," thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover  ",POSITIVE
32,BirbDefi,"thank you  . only you can set the birb free...

$birb #twittersold #twittertakeover    ",POSITIVE
33,abike_abike2," one in a while like this ❤️
“more love less ego” fc🦅❤️
#leavingtwitter #elonmuskbuytwitter #86fb #bettercallsaul #twitte…",POSITIVE
34,OFGBENELLI,did i fr just get shadow banned again for liking my feed ?????? bro #twitter fix this #crypto #nft #nftcommunity   #twittersold,NEUTRAL
35,Robowarp1," ""los, flieg schon nervensäge, hab genug von dir.""

#elonmusk #twittersold #twitterbeichte  ",NEUTRAL
36,ArbabK_,"did you notice that 
 
 changed the twitter like button color from ❤️ to 💙

and if you observe, it shows a…  ",NEUTRAL
37,ganeshsirimalle,"  hey   are you not buying   
.
.

#twittersold #twitter",NEUTRAL
38,cryptostarlet,"so the hold deal finally closed   

#elonmuskbuytwitter #freedomofspeech #twittersold #twitter…  ",NEGATIVE
39,Gulianisahib,many congratulations   hope your leadership makes this platform as free as safe and not provoking emotions…  ,POSITIVE
40,Humanistin," 1904 😃
schon vorbei,bevor es beginnt ?
#elonmusk #twittersold #twitterbeichte",NEUTRAL
41,FacemaskIndia,"  जा ट्विटर वाली चिड़िया , जी ले अपनी जिंदगी 

आजादी 

 #elonmuskbuytwitter
#twittertakeover #tesla…  ",NEUTRAL
42,xainxrshad,"talk free
type whatever you want 

freedom 
#elonmusk #twittersold #free #pakistan",POSITIVE
43,Einhorn1904,"""los, flieg schon nervensäge, hab genug von dir.""

#elonmusk #twittersold #twitterbeichte  ",NEUTRAL
44,drmykeare,  as soon as that bird starts to fly out of the cage you’re going to slam the door shut and catch its tail…  ,POSITIVE
45,rahul05ranjan, it is a sad reality of today's internet. anyone starts teaching programming on youtube without having prior experience. fol…,NEGATIVE
46,BiasonTech,it is a sad reality of today's internet. anyone starts teaching programming on youtube without having prior experie…  ,NEGATIVE
47,Kindness626," toro is looking at you with those #puppy eyes. wondering when will he have a #home , hoping that special someone will #ado…",POSITIVE
48,BetsySean,"  _sarah1   im super bullish on  , click the link to see what all the fuss is about 👇
 ",POSITIVE
49,rahul05ranjan, writing a thread is a labor task bcuz of the 280 characters limit in each tweet but it give twitter team a breeze to hand…,NEUTRAL
50,Shubhankan16,writing a thread is a labor task bcuz of the 280 characters limit in each tweet but it give twitter team a breeze t…  ,NEUTRAL
51,_blank_______," #elonmuskbuytwitter #elonmuskbuystwitter 
#elonsproblems 
u.s. sec looking into musk's twitter stake purchase 
https:/…",NEGATIVE
52,pameladiverona," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
53,bnegri1," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
54,lilmoser1,got time today let’s get on apex ranked silver 3 psn lilmoser   #apex #ranked…  ,NEUTRAL
55,KingArter14,it would be nice if .  .  could add the double tap post to like thing getting used on .…  ,POSITIVE
56,1Whistleblowers," #whistleblower news:

sec looking into #musk's twitter stake purchase

#doj files false claims act complaint vs. 6 #te…",NEGATIVE
57,OkeysonComedy,fake blind   #twittertakeover #twittersold #twitterdown #twitternaturecommunity #twitterworld…  ,NEGATIVE
58,WhistleblowerHB,"#whistleblower news:

sec looking into #musk's twitter stake purchase

#doj files false claims act complaint vs. 6…  ",NEGATIVE
59,JMR8604," there's no beating   at 3d chess. we don't make the rules 😅🙈
  

#twittertakeover #twittersold #twitter #elonmu…",NEUTRAL
60,Web3DMD," there's no beating   at 3d chess. we don't make the rules 😅🙈
  

#twittertakeover #twittersold #twitter #elonmu…",NEUTRAL
61,MferCakeBuddiez," there's no beating   at 3d chess. we don't make the rules 😅🙈
  

#twittertakeover #twittersold #twitter #elonmu…",NEUTRAL
62,chadinu_io,"there's no beating   at 3d chess. we don't make the rules 😅🙈
  

#twittertakeover #twittersold #twitter…  ",NEUTRAL
63,tedpanski," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
64,fichristiand," 💥💎💥
my  handmade painting. 
august, 50x60, oil on canvas,  2019
 
(price with shipping)
#twittersold…",NEUTRAL
65,Lady_Ethe," 💥💎💥
my  handmade painting. 
august, 50x60, oil on canvas,  2019
 
(price with shipping)
#twittersold…",NEUTRAL
66,NataIvaArt," 💥💎💥
my  handmade painting. 
august, 50x60, oil on canvas,  2019
 
(price with shipping)
#twittersold…",NEUTRAL
67,137degree," 💥💎💥
my  handmade painting. 
august, 50x60, oil on canvas,  2019
 
(price with shipping)
#twittersold…",NEUTRAL
68,NataIvaArt,"💥💎💥
my  handmade painting. 
august, 50x60, oil on canvas,  2019
 
(price with shipping)…  ",NEUTRAL
69,angela_massi," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
70,AdornatoAntonio," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
71,mkt4id,"with someone as reasonable as you in charge, censorship is a force that can be used for good - free speech haters,…  ",POSITIVE
72,realtalkremy,it’s day 31 since musk started taking over twitter. all sources point to   still 100% going through on this…  ,NEUTRAL
73,ariegoldshlager,"#elonmuskbuytwitter #elonmuskbuystwitter 
#elonsproblems 
u.s. sec looking into musk's twitter stake purchase…  ",NEGATIVE
74,prof_povero," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
75,AntonellaColoru," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
76,therealclemhall,  lol you blocked me from #everyone of your #pages?😂😂   #weak🙂 make this on #twitter and then you b…  ,POSITIVE
77,MScacc," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
78,Officialbilal23,"legends are born in a valley of struggle.
#legend #business  #twittersold  ",NEUTRAL
79,TezlowM,"connect with people around the world.

#twittersold #writerslift #introvert #fintech #fridaymorning #fentyafrica…  ",NEUTRAL
80,DK_India123, #elonmusk buys twitter: दुनिया के सबसे अमीर शख्स elon musk ने माइक्रो ब्लॉगिंग वेबसाइट #twitter खरीद लिया है. अब twitter…,NEUTRAL
81,cocchi2a," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
82,UnaCollins20,i love you #dogefam. what a ride. now elon has and i believe he will #doonlygoodeveryday #dogecoin #dogeday #twittersold…,POSITIVE
83,IPopolino," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
84,Gabri_Benci," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
85,ginolat76," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
86,DiVoghera," top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtanato il ri…",POSITIVE
87,mazzettam,"top mitomani del #twittersold 
questa ha una cugina talmente scema che con il marito si è venduta casa e ha sputtan…  ",POSITIVE
88,MoneycontrolH,"#twitter के को-फाउंडर #jackdorsey पर कंपनी के बोर्ड से धोखेबाजी का आरोप! जानिए क्या है पूरा मामला...
 …  ",NEUTRAL
89,knownas21," i can’t turn ‘water’ into ‘wine’ but i can turn ‘you’ into ‘mine’….
❤️‍🔥 #line #notifications #like #twittersold #twittertak…",NEUTRAL
90,knownas21,"i can’t turn ‘water’ into ‘wine’ but i can turn ‘you’ into ‘mine’….
❤️‍🔥 #line #notifications #like #twittersold…  ",NEUTRAL
91,DeborahRockefe2,"  _wd_  

#nftspaceship #twittersold #elonmusk #nft #nftcommuntiy #dogecoin #elonmuskbuytwitter #sh…",NEUTRAL
92,AdukiaKshitiz,"elon musk faces a lawsuit by twitter shareholders for stock price manipulation, in order to either give himself an…  ",NEUTRAL
93,RealLlamaDuck,"  
#twittertakeover 
#elonmuskbuytwitter 
#twittersold  ",NEUTRAL
94,officialhasman,he start the company build it to where it is today   bought the company for 45 billion dollars just to keep…  ,NEUTRAL
95,2devs2days,#news #twittertakeover #twittersold,NEUTRAL
